run,ipm,lambda,ipm_type,habitat
395,lag_cf,0.99,lag,cf
396,lag_cf,0.974,lag,cf
397,lag_cf,0.994,lag,cf
398,lag_cf,0.974,lag,cf
399,lag_cf,0.986,lag,cf
400,lag_cf,1.005,lag,cf
401,lag_cf,0.979,lag,cf
402,lag_cf,1.008,lag,cf
403,lag_cf,1.008,lag,cf
404,lag_cf,0.985,lag,cf
405,lag_cf,0.966,lag,cf
406,lag_cf,0.983,lag,cf
407,lag_cf,0.987,lag,cf
408,lag_cf,0.95,lag,cf
409,lag_cf,0.953,lag,cf
410,lag_cf,0.968,lag,cf
411,lag_cf,0.987,lag,cf
412,lag_cf,0.995,lag,cf
413,lag_cf,1.021,lag,cf
414,lag_cf,0.984,lag,cf
415,lag_cf,0.998,lag,cf
416,lag_cf,0.975,lag,cf
417,lag_cf,0.972,lag,cf
418,lag_cf,1.005,lag,cf
419,lag_cf,0.975,lag,cf
420,lag_cf,0.952,lag,cf
421,lag_cf,1.017,lag,cf
422,lag_cf,0.992,lag,cf
423,lag_cf,1.002,lag,cf
424,lag_cf,0.992,lag,cf
425,lag_cf,0.987,lag,cf
426,lag_cf,0.983,lag,cf
427,lag_cf,0.975,lag,cf
428,lag_cf,0.997,lag,cf
429,lag_cf,0.994,lag,cf
430,lag_cf,0.975,lag,cf
431,lag_cf,0.982,lag,cf
432,lag_cf,0.986,lag,cf
433,lag_cf,0.938,lag,cf
434,lag_cf,0.998,lag,cf
435,lag_cf,0.957,lag,cf
436,lag_cf,0.993,lag,cf
437,lag_cf,0.961,lag,cf
438,lag_cf,0.972,lag,cf
439,lag_cf,0.978,lag,cf
440,lag_cf,0.994,lag,cf
441,lag_cf,0.968,lag,cf
442,lag_cf,0.969,lag,cf
443,lag_cf,0.961,lag,cf
444,lag_cf,0.988,lag,cf
445,lag_cf,0.967,lag,cf
446,lag_cf,1.003,lag,cf
447,lag_cf,0.971,lag,cf
448,lag_cf,0.951,lag,cf
449,lag_cf,0.973,lag,cf
450,lag_cf,0.951,lag,cf
451,lag_cf,0.983,lag,cf
452,lag_cf,0.973,lag,cf
453,lag_cf,0.978,lag,cf
454,lag_cf,1.001,lag,cf
455,lag_cf,0.995,lag,cf
456,lag_cf,0.989,lag,cf
457,lag_cf,0.977,lag,cf
458,lag_cf,0.996,lag,cf
459,lag_cf,0.997,lag,cf
460,lag_cf,0.978,lag,cf
461,lag_cf,0.955,lag,cf
462,lag_cf,0.979,lag,cf
463,lag_cf,0.964,lag,cf
464,lag_cf,0.924,lag,cf
465,lag_cf,0.975,lag,cf
466,lag_cf,0.971,lag,cf
467,lag_cf,0.979,lag,cf
468,lag_cf,0.981,lag,cf
469,lag_cf,0.927,lag,cf
470,lag_cf,0.924,lag,cf
471,lag_cf,0.94,lag,cf
472,lag_cf,0.986,lag,cf
473,lag_cf,0.938,lag,cf
474,lag_cf,0.984,lag,cf
475,lag_cf,0.984,lag,cf
476,lag_cf,0.98,lag,cf
477,lag_cf,0.973,lag,cf
478,lag_cf,0.992,lag,cf
479,lag_cf,0.998,lag,cf
480,lag_cf,1.003,lag,cf
481,lag_cf,0.963,lag,cf
482,lag_cf,1.004,lag,cf
483,lag_cf,1.025,lag,cf
484,lag_cf,0.971,lag,cf
485,lag_cf,0.994,lag,cf
486,lag_cf,1.027,lag,cf
487,lag_cf,0.982,lag,cf
488,lag_cf,1.028,lag,cf
489,lag_cf,0.952,lag,cf
490,lag_cf,1.009,lag,cf
491,lag_cf,0.979,lag,cf
492,lag_cf,0.985,lag,cf
493,lag_cf,0.978,lag,cf
494,lag_cf,0.95,lag,cf
495,lag_cf,0.958,lag,cf
496,lag_cf,0.979,lag,cf
497,lag_cf,0.976,lag,cf
498,lag_cf,0.99,lag,cf
499,lag_cf,0.998,lag,cf
500,lag_cf,0.99,lag,cf
501,lag_cf,0.977,lag,cf
502,lag_cf,0.98,lag,cf
503,lag_cf,0.926,lag,cf
504,lag_cf,0.987,lag,cf
505,lag_cf,0.99,lag,cf
506,lag_cf,0.986,lag,cf
507,lag_cf,0.997,lag,cf
508,lag_cf,1.016,lag,cf
509,lag_cf,0.974,lag,cf
510,lag_cf,1.003,lag,cf
511,lag_cf,1.014,lag,cf
512,lag_cf,0.981,lag,cf
513,lag_cf,0.998,lag,cf
514,lag_cf,1.004,lag,cf
515,lag_cf,0.957,lag,cf
516,lag_cf,0.959,lag,cf
517,lag_cf,0.966,lag,cf
518,lag_cf,0.964,lag,cf
519,lag_cf,0.973,lag,cf
520,lag_cf,0.986,lag,cf
521,lag_cf,0.991,lag,cf
522,lag_cf,0.987,lag,cf
523,lag_cf,0.975,lag,cf
524,lag_cf,0.956,lag,cf
525,lag_cf,0.97,lag,cf
526,lag_cf,0.959,lag,cf
527,lag_cf,0.97,lag,cf
528,lag_cf,0.962,lag,cf
529,lag_cf,0.965,lag,cf
530,lag_cf,0.945,lag,cf
531,lag_cf,0.964,lag,cf
532,lag_cf,0.978,lag,cf
533,lag_cf,0.961,lag,cf
534,lag_cf,0.991,lag,cf
535,lag_cf,0.997,lag,cf
536,lag_cf,0.97,lag,cf
537,lag_cf,0.982,lag,cf
538,lag_cf,0.981,lag,cf
539,lag_cf,0.984,lag,cf
540,lag_cf,0.993,lag,cf
541,lag_cf,0.979,lag,cf
542,lag_cf,0.965,lag,cf
543,lag_cf,0.968,lag,cf
544,lag_cf,0.953,lag,cf
545,lag_cf,0.985,lag,cf
546,lag_cf,0.981,lag,cf
547,lag_cf,0.989,lag,cf
548,lag_cf,1.009,lag,cf
549,lag_cf,0.993,lag,cf
550,lag_cf,0.991,lag,cf
551,lag_cf,1.018,lag,cf
552,lag_cf,0.972,lag,cf
553,lag_cf,0.971,lag,cf
554,lag_cf,0.968,lag,cf
555,lag_cf,0.949,lag,cf
556,lag_cf,0.968,lag,cf
557,lag_cf,0.964,lag,cf
558,lag_cf,0.965,lag,cf
559,lag_cf,0.972,lag,cf
560,lag_cf,0.977,lag,cf
561,lag_cf,0.984,lag,cf
562,lag_cf,1.003,lag,cf
563,lag_cf,0.978,lag,cf
564,lag_cf,1.03,lag,cf
565,lag_cf,1.003,lag,cf
566,lag_cf,0.971,lag,cf
567,lag_cf,1.002,lag,cf
568,lag_cf,0.991,lag,cf
569,lag_cf,1.041,lag,cf
570,lag_cf,0.974,lag,cf
571,lag_cf,1.054,lag,cf
572,lag_cf,1,lag,cf
573,lag_cf,0.99,lag,cf
574,lag_cf,1.015,lag,cf
575,lag_cf,1.005,lag,cf
576,lag_cf,0.974,lag,cf
577,lag_cf,0.997,lag,cf
578,lag_cf,0.987,lag,cf
579,lag_cf,1.007,lag,cf
580,lag_cf,0.981,lag,cf
581,lag_cf,0.944,lag,cf
582,lag_cf,1.007,lag,cf
583,lag_cf,1.007,lag,cf
584,lag_cf,0.961,lag,cf
585,lag_cf,0.982,lag,cf
586,lag_cf,0.95,lag,cf
587,lag_cf,0.985,lag,cf
588,lag_cf,0.982,lag,cf
