Plant_No,No_of_seeds,Date_Collected
262,3,3-Apr-2008
262,3,3-Apr-2008
297,1,3-Apr-2008
297,2,3-Apr-2008
297,2,3-Apr-2008
297,1,3-Apr-2008
297,3,3-Apr-2008
297,3,3-Apr-2008
297,3,3-Apr-2008
33,2,8-Apr-2008
33,2,8-Apr-2008
33,1,8-Apr-2008
44,3,8-Apr-2008
75,1,8-Apr-2008
75,1,8-Apr-2008
75,1,8-Apr-2008
75,2,8-Apr-2008
75,3,8-Apr-2008
76,2,8-Apr-2008
76,2,8-Apr-2008
78,2,8-Apr-2008
78,2,8-Apr-2008
78,2,8-Apr-2008
78,1,8-Apr-2008
78,2,8-Apr-2008
78,3,8-Apr-2008
178,3,8-Apr-2008
185,1,8-Apr-2008
185,1,8-Apr-2008
194,2,8-Apr-2008
194,2,8-Apr-2008
195,2,8-Apr-2008
195,1,8-Apr-2008
195,1,8-Apr-2008
220,1,8-Apr-2008
222,1,8-Apr-2008
222,1,8-Apr-2008
222,1,8-Apr-2008
223,1,8-Apr-2008
235,2,8-Apr-2008
235,3,8-Apr-2008
269,1,8-Apr-2008
283,2,8-Apr-2008
294,1,8-Apr-2008
298,1,8-Apr-2008
298,1,8-Apr-2008
298,3,8-Apr-2008
unmarked_1501,1,8-Apr-2008
unmarked_1501,3,8-Apr-2008
